distance-to-public-transport-station-less-than-100m;distance;Distance less than 100m to OeV;Distanz weniger als 100m zum OeV;Distance inférieure à 100m à OeV;Distanza meno di 100m da OeV;2026-05-26T14:59:39.6713951+00:00
distance-to-public-transport-station-less-than-10km;distance;Distance less than 10km to OeV;Distanz weniger als 10km zum OeV;Distance inférieure à 10km d’OeV;Distanza meno di 10km da OeV;2026-05-26T14:38:56.9181095+00:00
distance-to-public-transport-station-less-than-1km;distance;Distance less than 1km to OeV;Distanz weniger als 1km zum OeV;Distance inférieure à 1 km d’OeV;Distanza meno di 1km da OeV;2026-05-26T14:59:41.3141142+00:00
distance-to-public-transport-station-more-than-10km;distance;Distance more than 10km to OeV;Distanz mehr als 10km zum OeV;Distance de plus de 10 km à OeV;Distanza più di 10km da OeV;2026-05-26T14:59:42.2964836+00:00
distance-to-public-transport-station-more-than-1km;distance;Distance more than 1km to OeV;Distanz mehr als 1km zum OeV;Distance de plus de 1 km à OeV;Distanza più di 1 km da OeV;2026-05-26T14:59:41.885858+00:00
distance-to-train-station-less-than-100m;distance;Distance less than 100m to the train station;Distanz weniger als 100m zum Bahnhof;Distance inférieure à 100m de la gare;Distanza meno di 100m dalla stazione ferroviaria;2026-05-26T14:59:42.9347999+00:00
distance-to-train-station-less-than-10km;distance;Distance less than 10km to the train station;Distanz weniger als 10km zum Bahnhof;Distance inférieure à 10 km de la gare;Distanza meno di 10km dalla stazione ferroviaria;2026-05-26T14:38:57.3149075+00:00
distance-to-train-station-less-than-1km;distance;Distance less than 1km to the train station;Distanz weniger als 1km zum Bahnhof;Distance inférieure à 1 km de la gare;Distanza meno di 1km dalla stazione ferroviaria;2026-05-26T14:39:00.3073814+00:00
distance-to-train-station-more-than-10km;distance;Distance more than 10km to the train station;Distanz mehr als 10km zum Bahnhof;Distance plus de 10 km de la gare;Distanza più di 10km dalla stazione ferroviaria;2026-05-26T14:59:43.5163758+00:00
distance-to-train-station-more-than-1km;distance;Distance more than 1km to the train station;Distanz mehr als 1km zum Bahnhof;Distance à plus de 1 km de la gare;Distanza più di 1 km dalla stazione ferroviaria;2026-05-26T15:00:16.7383435+00:00
duration-1-2-hours;duration;Duration 1-2 hours;Dauer 1-2 Stunden;Durée 1-2 heures;Durata 1-2 ore;2026-05-26T14:39:01.145579+00:00
duration-1-3-hours;duration;Duration 1-3 hours;Dauer 1-3 Stunden;Durée 1-3 heures;Durata 1-3 ore;2026-05-26T14:59:43.9354542+00:00
duration-3-5-hours;duration;Duration 3-5 hours;Dauer 3-5 Stunden;Durée 3-5 heures;Durata 3-5 ore;2026-05-26T14:39:01.2456866+00:00
duration-4-6-hours;duration;Duration 4-6 hours;Dauer 4-6 Stunden;Durée 4-6 heures;Durata 4-6 ore;2026-05-26T14:59:54.4992491+00:00
duration-full-day;duration;Duration all day;Dauer ganztägig;Durée toute la journée;Durata tutto il giorno;2026-05-26T14:59:45.3744585+00:00
duration-multiple-days;duration;Duration of several days;Dauer mehrtägig;Durée de plusieurs jours;Durata di più giorni;2026-05-26T14:39:10.5541801+00:00
duration-half-day;duration;Duration half day;Dauer halbtags;Durée demi-journée;Durata mezza giornata;2026-05-26T14:39:01.8484542+00:00
genre-3d;genre;.3D;3D;..3D;..3D;2026-05-26T14:39:09.8928931+00:00
genre-action;genre;Action;Action;Action;Azione;2026-05-26T14:59:54.9366798+00:00
genre-scifi;genre;Science fiction;Science-Fiction;Science-fiction;Fantascienza;2026-05-26T14:59:55.4317735+00:00
genre-adventure;genre;Adventure;Abenteuer;Aventure;Avventura;2026-05-26T14:39:12.0234328+00:00
genre-ballet;genre;Ballet;Ballett;Ballet;Balletto;2026-05-26T15:02:38.2355326+00:00
genre-biography;genre;Biography;Biografie;Biographie;Biografia;2026-05-26T14:39:12.7096207+00:00
genre-blackandwhite;genre;Black;Schwarzweiss;Noir;Nero;2026-05-26T14:59:56.0953481+00:00
genre-cartoon;genre;Animation;Trickfilm;Animation;Animazione;2026-05-26T14:39:13.2162273+00:00
genre-children;genre;Children's film;Kinderfilm;Film pour enfants;Film per bambini;2026-05-26T14:59:56.4903565+00:00
genre-classicfilms;genre;Movie classics;Filmklassiker;Classiques du cinéma;Classici del cinema;2026-05-26T15:00:10.2254298+00:00
genre-comedy;genre;Comedy;Komödie;Comédie;Commedia;2026-05-26T14:59:57.285011+00:00
genre-documentary;genre;Documentation;Dokumentation;Documentation;Documentazione;2026-05-26T15:00:10.9342943+00:00
genre-disaster;genre;Calamities;Katastrophen;Calamités;Calamità;2026-05-26T14:39:14.1475163+00:00
genre-erotic_adultsonly;genre;Eroticism;Erotik;Érotisme;Erotismo;2026-05-26T15:00:14.4337755+00:00
genre-drama;genre;Drama;Drama;Drame;Dramma;2026-05-26T15:00:15.7965262+00:00
genre-experimental;genre;Experimental film;Experimentalfilm;Film expérimental;Film sperimentale;2026-05-26T14:39:15.9434785+00:00
genre-family;genre;Family film;Familienfilm;Film familial;Film per famiglie;2026-05-26T15:00:14.8726398+00:00
genre-fantasy;genre;Fantasy;Fantasy;Fantaisie;Fantasia;2026-05-26T15:00:45.2902126+00:00
genre-history;genre;Historical;Historisch;Historique;Storico;2026-05-26T14:39:14.6263013+00:00
genre-home;genre;Heimatfilm;Heimatfilm;Heimatfilm;Heimatfilm;2026-05-26T15:00:16.0947069+00:00
genre-horror;genre;Horror;Horror;Horreur;Orrore;2026-05-26T14:39:16.8202839+00:00
genre-musical;genre;Musical;Musical;Musical;Musicale;2026-05-26T15:00:16.5708888+00:00
genre-lunchmovie;genre;Lunch cinema;Lunchkino;Déjeuner cinéma;Pranzo cinema;2026-05-26T14:39:17.2420032+00:00
genre-musicfilm;genre;Music film;Musikfilm;Film musical;Film musicale;2026-05-26T15:00:17.1071841+00:00
genre-mystery;genre;Mystery;Mystery;Mystère;Mistero;2026-05-26T15:00:16.6628917+00:00
genre-opera;genre;Opera;Oper;Opéra;Opera;2026-05-26T14:39:18.1331412+00:00
genre-others;genre;Other genres;Weitere Genres;Autres genres;Altri generi;2026-05-26T14:39:24.808821+00:00
genre-prelaunch;genre;Preview;Vorpremiere;Aperçu;Anteprima;2026-05-26T15:00:17.8096402+00:00
genre-premiere;genre;Premiere;Premiere;Première;Prima;2026-05-26T15:00:17.5273187+00:00
genre-problem;genre;Problem film;Problemfilm;Film problématique;Film problematico;2026-05-26T14:39:24.1490265+00:00
genre-roadmovie;genre;Road Movie;Road Movie;Road Movie;Road Movie;2026-05-26T15:00:18.0353324+00:00
genre-short;genre;Short film;Kurzfilm;Court-métrage;Cortometraggio;2026-05-26T14:39:29.4270418+00:00
genre-romance;genre;Romance;Romanze;Romance;Romanzo;2026-05-26T14:39:25.3358069+00:00
genre-silentmovie;genre;Silent film;Stummfilm;Film muet;Film muti;2026-05-26T15:00:18.3676884+00:00
genre-special_filmnoir;genre;Film noir;Film noir;Film noir;Film noir;2026-05-26T14:39:31.9499695+00:00
genre-sport;genre;Sport;Sport;Sport;Sport;2026-05-26T15:00:18.5924208+00:00
genre-studiomovie;genre;Studio film;Studiofilm;Film de studio;Film in studio;2026-05-26T15:00:18.7981679+00:00
genre-theatermovie;genre;Theatrical film;Theaterfilm;Film théâtral;Film teatrale;2026-05-26T14:39:30.0487887+00:00
genre-thriller;genre;Detective story;Krimi;Histoire policière;Romanzo poliziesco;2026-05-26T14:39:30.4822956+00:00
genre-tragedy;genre;Tragicomedy;Tragikomödie;Tragicomédie;Tragicommedia;2026-05-26T14:39:31.1554054+00:00
genre-truestory;genre;True Story;True-Story;Histoire vraie;Storia vera;2026-05-26T14:39:31.7080966+00:00
genre-war;genre;War;Krieg;Guerre;Guerra;2026-05-26T15:00:19.2164994+00:00
genre-western;genre;Western;Western;Occidental;Occidentale;2026-05-26T15:00:19.630691+00:00
literature;literature;literature;literatur;littérature;letteratura;2026-05-26T15:00:20.0482405+00:00
music-classic;music;Classical music;Klassik;Musique classique;Musica classica;2026-05-26T15:00:20.2666248+00:00
music-folk;music;Folk;Folk;Peuple;Popolo;2026-05-26T15:00:22.5075434+00:00
parking-covered;parking;Garage;Garage;Garage;Garage;2026-05-26T15:00:21.3721617+00:00
music-jazz-pop-rock;music;Jazz/Pop/Rock;Jazz/Pop/Rock;Jazz/Pop/Rock;Jazz/Pop/Rock;2026-05-26T15:00:41.3848624+00:00
parking-no;parking;No parking;Keine Parkiermöglichkeit;Stationnement interdit;Divieto di parcheggio;2026-05-26T15:00:41.7400627+00:00
parking-own-bus-chargeable;parking;Own paid parking for buses;eigenes Gebührenpflichtes Parking  für Busse;Propre parking payant pour les bus;Parcheggio privato a pagamento per gli autobus;2026-05-26T15:00:42.8618149+00:00
parking-own-bus-free;parking;own free parking for buses;eigenes Gratis Parking für Busse;propre parking gratuit pour les bus;proprio parcheggio gratuito per gli autobus;2026-05-26T15:00:43.4624475+00:00
parking-own-chargeable;parking;own paid parking;eigenes Gebührenpflichtes Parking;parking payant propre;parcheggio privato a pagamento;2026-05-26T14:39:32.1707203+00:00
parking-own-free;parking;own free parking;eigenes Gratis Parking;Propre parking gratuit;parcheggio gratuito;2026-05-26T14:39:32.4690975+00:00
parking-own-mobilehome-chargeable;parking;Own parking for mobile homes;eigenes Gebührenpflichtes Parking  für Mobilhome;Parking propre pour mobil-homes;Parcheggio privato per case mobili;2026-05-26T14:39:33.2103169+00:00
parking-own-mobilehome-free;parking;own free parking for mobile homes;eigenes Gratis Parking für Mobilhome;Propre parking gratuit pour les mobil-homes;parcheggio gratuito per case mobili;2026-05-26T15:00:44.3706274+00:00
parking-public-bus-nearby-chargeable;parking;Paid parking for buses nearby;Gebührenpflichtes Parking für Busse in der Nähe;Parking payant pour les bus à proximité;Parcheggio a pagamento per autobus nelle vicinanze;2026-05-26T14:39:33.6561448+00:00
parking-public-bus-nearby-free;parking;Free parking for buses nearby;Gratis Parking für Busse in der Nähe;Parking gratuit pour les bus à proximité;Parcheggio gratuito per gli autobus nelle vicinanze;2026-05-26T15:00:43.8660422+00:00
parking-public-mobilehome-nearby-free;parking;Free parking for mobile homes nearby;Gratis Parking für Mobilhome in der Nähe;Parking gratuit pour mobil-homes à proximité;Parcheggio gratuito per case mobili nelle vicinanze;2026-05-26T14:39:34.2017495+00:00
parking-public-mobilehome-nearby-chargeable;parking;Paid parking for mobile homes nearby;Gebührenpflichtes Parking für Mobilhome in der Nähe;Parking payant pour mobil-homes à proximité;Parcheggio a pagamento per case mobili nelle vicinanze;2026-05-26T14:39:35.1206209+00:00
parking-public-nearby-free;parking;Free parking nearby;Gratis Parking in der Nähe;Parking gratuit à proximité;Parcheggio gratuito nelle vicinanze;2026-05-26T14:39:34.3527393+00:00
parking-public-nearby-chargeable;parking;Paid parking nearby;Gebührenpflichtes Parking in der Nähe;Parking payant à proximité;Parcheggio a pagamento nelle vicinanze;2026-05-26T14:44:37.3059171+00:00
parking-valet;parking;Valet parking;Park-Service;Voiturier;Parcheggio;2026-05-26T15:00:44.7825461+00:00
profile-enjoyment-1;profile-enjoyment;Enjoyment low;Genuss niedrid;Plaisir niedrid;Piacere niedrid;2025-02-27T08:47:45.2597244+00:00
profile-mod-alone;profile;Alone;Allein;Seul;Solo;2025-06-28T07:37:13.6332204+00:00
profile-mod-couple;profile;Pair;Paar;Paire;Paio;2025-06-28T07:37:29.3606911+00:00
profile-season-summer;profile;Summer;Sommer;Été;Estate;2025-06-28T07:37:46.9934115+00:00
profile-season-winter;profile;Winter;Winter;Hiver;Inverno;2025-06-28T07:39:58.3017825+00:00
profile-sport-1;profile-sport;Sport low;Sport niedrig;Sports bas;Sport bassi;2025-02-24T12:59:13.7242114+00:00
reduction-apprentice;reduction;Apprentices;Lehrlinge;Apprentis;Apprendisti;2026-05-26T14:39:35.6442893+00:00
reduction-citycard;reduction;Reduction with tourism card;Reduktion mit Tourismuskarte;Réduction avec carte de tourisme;Riduzione con tessera turistica;2026-05-26T15:00:45.8437877+00:00
reduction-family;reduction;Families;Familen;Famille;Famiglie;2026-05-26T15:00:53.9764368+00:00
reduction-donations;reduction;Volunteer Contribution Donations;Freiwilligenbeitrag-Spenden;Dons de contributions bénévoles;Donazioni di contributi volontari;2026-05-26T14:39:35.7377774+00:00
reduction-free-till-16;reduction;Free admission for children up to 16 years;Gratiseintritte für Kinder bis 16 Jahre;Entrée gratuite pour les enfants jusqu’à 16 ans;Ingresso gratuito per ragazzi fino a 16 anni;2026-05-26T14:39:38.4396575+00:00
reduction-free-till-12;reduction;Free admission for children up to 12 years;Gratiseintritte für Kinder bis 12 Jahre;Entrée gratuite pour les enfants jusqu’à 12 ans;Ingresso gratuito per bambini fino a 12 anni;2026-05-26T15:00:51.1112536+00:00
reduction-free;reduction;Free admission;Gratiseintritte;Entrée libre;Ingresso libero;2026-05-26T15:00:48.5866146+00:00
reduction-free-till-6;reduction;Free admission for children up to 6 years;Gratiseintritte für Kinder bis 6 Jahre;Entrée gratuite pour les enfants jusqu’à 6 ans;Ingresso gratuito per bambini fino a 6 anni;2026-05-26T14:39:48.1195683+00:00
reduction-group;reduction;Groups;Gruppen;Groupe;Gruppi;2026-05-26T15:00:56.0724127+00:00
reduction-general;reduction;general reductions;generelle Reduktionen;Réductions générales;Riduzioni generali;2026-05-26T15:00:53.370196+00:00
reduction-handicaped;reduction;Invalid;Invalide;Non valide;Non valido;2026-05-26T15:00:59.0866895+00:00
reduction-localpopulation;reduction;Local;Einheimische;Local;Locale;2026-05-26T15:01:02.9758277+00:00
reduction-membercard;reduction;Membership reduction;Mitgliederreduktion;Réduction du nombre de membres;Riduzione dell'iscrizione;2026-05-26T15:01:14.4910085+00:00
reduction-multipledaypass;reduction;Multi-day ticket reduction;Mehrtageskartenreduktion;Réduction de billets de plusieurs jours;Riduzione del biglietto di più giorni;2026-05-26T14:39:52.3142118+00:00
reduction-percentagebased;reduction;percentage reduction;prozentuale Ermässigung;pourcentage de réduction;riduzione percentuale;2026-05-26T15:01:03.4816205+00:00
reduction-presale;reduction;Presale;Vorverkauf;Prévente;Prevendita;2026-05-26T14:39:53.0303525+00:00
reduction-seniors;reduction;Seniors;Senioren;Aînés;Anziani;2026-05-26T15:01:04.2179785+00:00
reduction-students;reduction;Students;Studenten;Étudiants;Studenti;2026-05-26T15:01:08.4235745+00:00
reservation-online;reservation;Online reservation;Online-Reservation;Réservation en ligne;Prenotazione;2026-05-26T15:01:21.6029763+00:00
seasonality-summer-only;seasonality;Summer season;Sommersaison;Saison estivale;Stagione estiva;2026-05-26T14:39:55.5123052+00:00
seasonality-winter-only;seasonality;Winter season;Wintersaison;Saison d’hiver;Stagione invernale;2026-05-26T14:39:56.9840585+00:00
transport-mountainrailway;transport;Mountain railway ascent/descent;Bergbahnauf-/-abstieg;Ascension/descente du chemin de fer de montagne;Salita/discesa in montagna;2026-05-26T15:01:22.8804614+00:00
weather-conditions-dry-days;weather-conditions;Dry weather;Trockenwetter;Temps sec;Tempo asciutto;2026-05-26T14:39:58.3361573+00:00
weather-conditions-snow-days;weather-conditions;Snow;Schnee;Neige;Neve;2026-05-26T15:01:23.8245792+00:00
weather-conditions-wet-days;weather-conditions;Wet weather;Nasswetter;Pluvieux;Tempo piovoso;2026-05-26T15:01:24.2746616+00:00
accessibility-suitableforperambulators;accessibility;Stroller Friendly;kinderwagengerecht;Poussette amicale;Passeggino amichevole;2026-05-26T14:40:06.795458+00:00
culinary-breakfast;culinary;Breakfast;Frühstück;Petit déjeuner;Colazione;2026-05-26T15:01:38.4012052+00:00
culinary-brunch;culinary;Brunch;Brunch;Brunch;Brunch;2026-05-26T14:40:16.0072363+00:00
culinary-dailyspecial;culinary;Specials of the day;Tagesspezialität;Spéciaux du jour;Offerte speciali del giorno;2026-05-26T15:01:41.2848781+00:00
culinary-dinner;culinary;Supper;Abendessen;Souper;Cena;2026-05-26T14:40:24.7328563+00:00
culinary-cooktogether;culinary;Cooking together;Gemeinsam kochen;Cuisiner ensemble;Cucinare insieme;2026-05-26T14:40:21.7961765+00:00
culinary-dinnerwithprogram;culinary;Meals with program;Essen mit Programm;Repas avec programme;Pasti con programma;2026-05-26T15:01:43.2209757+00:00
culinary-foodfestival;culinary;Food Festival;Food Festival;Festival gastronomique;Festa del cibo;2026-05-26T15:01:44.2487333+00:00
culinary-eattogether;culinary;Eating together;Gemeinsam essen;Manger ensemble;Mangiare insieme;2026-05-26T15:01:43.3815249+00:00
culinary-lunch;culinary;Lunch;Mittagessen;Déjeuner;Pranzo;2026-05-26T14:40:31.2341118+00:00
culinary-seasonal;culinary;seasonal specialities;saisonale Spezialitäten;Spécialités de saison;Specialità stagionali;2026-05-26T14:40:33.2499826+00:00
culinary-tasting;culinary;Tasting;Degustation;Dégustation;Degustazione;2026-05-26T14:40:37.3202127+00:00
culinary-variousculinary;culinary;more culinary delights;weitere Kulinarik;Plus de délices culinaires;Altre delizie culinarie;2026-05-26T15:01:47.5919519+00:00
culinary-specialoccasions;culinary;special occasions;spezielle Anlässe;Occasions spéciales;Occasioni speciali;2026-05-26T14:40:37.7143794+00:00
general-dogfriendly;general;Dog friendly;hundefreundlich;Chien accepté;Dog friendly;2026-05-26T14:40:41.2304005+00:00
general-dining;general;Refreshments;Einkehrmöglichkeit;Rafraîchissements;Rinfreschi;2026-05-26T14:40:48.9625729+00:00
general-educational;general;instructive;lehrreich;instructif;istruttivo;2026-05-26T15:01:53.6660171+00:00
general-fireplace;general;Fire pit on the way;Feuerstelle unterwegs;Foyer sur le chemin;Pozzo del fuoco sulla strada;2026-05-26T15:01:53.2010844+00:00
general-shopping;general;Shopping on the go;Einkaufsmöglichkeit unterwegs;Shopping en déplacement;Shopping in movimento;2026-05-26T14:40:56.3690643+00:00
general-publictoilet;general;public toilet on the way;öffentliche Toilette unterwegs;toilettes publiques sur le chemin;servizi igienici pubblici lungo la strada;2026-05-26T14:40:56.9202351+00:00
general-suitableforfamilies;general;family-friendly;familienfreundlich;Adapté aux familles;adatto alle famiglie;2026-05-26T14:41:01.4722533+00:00
general-playground;general;Playground on the way;Spielplatz unterwegs;Aire de jeux sur le chemin;Parco giochi lungo la strada;2026-05-26T15:01:57.5473576+00:00
incentive-quiz;incentive;with puzzles;mit Rätsel;avec des puzzles;con puzzle;2026-05-26T15:01:57.7779513+00:00
incentive-reward;incentive;with reward at the end;mit Belohnung am Ende;avec récompense à la fin;con ricompensa alla fine;2026-05-26T15:01:58.2787001+00:00
profile-enjoyment-5;profile-enjoyment;Enjoyment high;Genuss hoch;Plaisir élevé;Piacere alto;2025-02-27T08:47:46.5467943+00:00
profile-sport-5;profile-sport;Sport high;Sport hoch;Sports high;Sport alto;2025-02-24T12:59:44.8599977+00:00
trail-looptour;trail;Tour;Rundtour;Tour;Viaggio;2026-05-26T14:41:18.982699+00:00
trail-onewaytour;trail;Back and forth;Hin und zurück;Aller et retour;Andata e ritorno;2026-05-26T14:43:32.4740647+00:00
trail-scenic;trail;promising;aussichtsreich;prometteur;promettente;2026-05-26T15:01:58.4145609+00:00
trail-multistagetour;trail;Stage tour;Etappentour;Tour d’étape;Tour di tappa;2026-05-26T14:42:56.229259+00:00
